Name,Surname,Birth,Birth Country,Gender,Code,Telephone,Email,Role,Experience,Salary USD
Mitchell,White,04/10/1969,PL,Male,WHIMIT69J04PL67,387 651183,mitchellwhite69@email.not,Financial Analyst,Senior,65904
Aaliyah,Harris,30/01/1976,BGR,Female,HARAAL76A30BGR71,314 833391,aaliyahharris76@email.not,Operations Manager,Senior,76408
Baker,Jones,09/12/1977,SRB,Male,JONBAK77L09SRB73,319 620237,bakerjones77@email.not,Financial Analyst,Junior,46508
Alexander,Allen,24/09/1960,PL,Male,ALLALE60I24PL21,363 264277,alexanderallen60@email.not,Marketing Manager,Senior,71892
Miller,Jones,27/07/1954,LI,Male,JONMIL54G27LI33,372 250301,millerjones54@email.not,Administrative Assistant,Intermediate,42900
Hazel,Collins,05/09/1954,XK,Female,COLHAZ54I05XK79,349 396136,hazelcollins54@email.not,Software Developer,Intermediate,63363
Layla,Taylor,14/03/1976,AD,Female,TAYLAY76C14AD75,380 567100,laylataylor76@email.not,Software Developer,Senior,80463
Aiden,Turner,19/05/1967,FRA,Male,TURAID67E19FRA75,313 418583,aidenturner67@email.not,Human Resources Manager,Lead/Manager,86551
Violet,Young,02/02/1979,RUS,Female,YOUVIO79B02RUS20,315 221839,violetyoung79@email.not,Marketing Manager,Intermediate,73625
Aurora,Roberts,10/03/1977,GE,Female,ROBAUR77C10GE21,340 141714,auroraroberts77@email.not,Human Resources Manager,Intermediate,59359
Elena,Roberts,19/05/1990,LUX,Female,ROBELE90E19LUX37,319 332027,elenaroberts90@email.not,Administrative Assistant,Intermediate,43306
Alexander,Perez,21/08/1973,ESP,Male,PERALE73H21ESP75,356 967190,alexanderperez73@email.not,Seller,Junior,47958
Ethan,Scott,14/01/1987,LV,Male,SCOETH87A14LV74,348 683361,ethanscott87@email.not,Financial Analyst,Intermediate,56811
Caden,Nelson,30/12/2000,GRC,Male,NELCAD00L30GRC53,321 609235,cadennelson00@email.not,Seller,Senior,54246
Daniel,Jones,28/08/1997,TUR,Male,JONDAN97H28TUR95,327 857444,danieljones97@email.not,Human Resources Manager,Junior,47172
Ruby,Jackson,17/06/1954,,Female,JACRUB54F17HR49,372 861738,rubyjackson54@email.not,Seller,Intermediate,49502
Stewart,Roberts,09/03/1954,IE,Male,ROBSTE54C09IE43,381 449309,stewartroberts54@email.not,Seller,Senior,63653
Jackson,Hall,18/02/1971,PT,Male,HALJAC71B18PT20,340 818651,jacksonhall71@email.not,Marketing Manager,Junior,55379
Wilson,Taylor,31/07/1959,MLT,Male,TAYWIL59G31MLT26,343 690234,wilsontaylor59@email.not,Software Developer,Senior,85936
