Name,Surname,Birth,Birth Country,Gender,Code,Role,Experience,Salary USD
Turner,Thomas,1974-07-17,LU,Male,THOTUR74G17LU81,Operations Manager,Lead/Manager,93222.0
Anderson,Phillips,1997-12-27,CZE,Male,PHIAND97L27CZE14,Administrative Assistant,Lead/Manager,52648.0
Noah,Scott,1963-04-28,BE,Male,SCONOA63D28BE74,Marketing Manager,Intermediate,62926.0
Aaliyah,Robinson,1966-05-10,EE,Female,ROBAAL66E10EE81,Cybersecurity Expert,Senior,79708.0
Nelson,Hall,1950-03-15,MNE,Male,HALNEL50C15MNE36,Marketing Manager,Lead/Manager,91890.0
William,Davis,1981-12-08,MDA,Male,DAVWIL81L08MDA67,Research and Development Engineer,Senior,75524.0
Mila,Allen,1984-05-09,FRA,Female,ALLMIL84E09FRA45,Human Resources Manager,Intermediate,58682.0
Grace,Baker,1963-09-16,EST,Female,BAKGRA63I16EST73,Seller,Senior,52331.0
Hannah,Hall,1993-06-14,MLT,Female,HALHAN93F14MLT30,Seller,Intermediate,50274.0
Miller,Martinez,1977-10-24,GR,Male,MARMIL77J24GR53,Administrative Assistant,Junior,43846.0
Miller,Davis,1956-01-19,NOR,Male,DAVMIL56A19NOR72,Administrative Assistant,Senior,50780.0
Riley,Hernandez,1986-04-26,GE,Female,HERRIL86D26GE16,Seller,Intermediate,50166.0
Aiden,Lewis,1990-08-08,LI,Male,LEWAID90H08LI75,Seller,Lead/Manager,69817.0
Aiden,Davis,1994-08-24,LT,Male,DAVAID94H24LT98,Operations Manager,Lead/Manager,104619.0
Isabella,Roberts,1993-03-05,NO,Female,ROBISA93C05NO27,Seller,Intermediate,55681.0
Anderson,Allen,1955-12-24,AT,Male,ALLAND55L24AT20,Financial Analyst,Intermediate,56264.0
Johnson,White,1951-07-04,RU,Male,WHIJOH51G04RU21,Seller,Junior,46514.0
Aiden,Green,1965-05-27,SK,Male,GREAID65E27SK98,Marketing Manager,Lead/Manager,90358.0
Isabella,Thomas,1990-07-12,ISL,Female,THOISA90G12ISL46,Cybersecurity Expert,Intermediate,70729.0
Ella,Smith,1995-11-17,MT,Female,SMIELL95K17MT92,Seller,Intermediate,47139.0
Eli,Campbell,1966-07-31,BEL,Male,CAMELI66G31BEL14,Marketing Manager,Junior,60512.0
Lucy,Anderson,1980-12-26,FIN,Female,ANDLUC80L26FIN61,Human Resources Manager,Lead/Manager,88203.0
Sophia,Phillips,1985-07-07,BLR,Female,PHISOP85G07BLR35,Software Developer,Intermediate,58659.0
Green,Allen,1975-02-28,DE,Male,ALLGRE75B28DE86,Cybersecurity Expert,Junior,66384.0
Taylor,Davis,1974-04-04,MNE,Male,DAVTAY74D04MNE66,Cybersecurity Expert,Intermediate,81545.0
Hill,Scott,1991-02-03,AUT,Male,SCOHIL91B03AUT16,Software Developer,Senior,89937.0
Avery,Robinson,1969-06-13,BA,Female,ROBAVE69F13BA39,Marketing Manager,Intermediate,68051.0
Michael,Davis,1993-08-21,SK,Male,DAVMIC93H21SK92,Operations Manager,Senior,78552.0
Violet,Hernandez,1955-11-25,SI,Female,HERVIO55K25SI32,Technical Support Technician,Lead/Manager,70506.0
Chiara,Roberts,1957-04-08,NO,Female,ROBCHI57D08NO42,Seller,Intermediate,47903.0
Oliver,Hill,1995-05-20,VA,Male,HILOLI95E20VA41,Marketing Manager,Junior,58015.0
Isabella,Thompson,1952-10-07,HU,Female,THOISA52J07HU79,Technical Support Technician,Intermediate,48245.0
Lyla,White,1994-06-06,FIN,Female,WHILYL94F06FIN25,Seller,Junior,49428.0
Wright,Clark,1997-06-07,SVK,Male,CLAWRI97F07SVK58,Human Resources Manager,Intermediate,62962.0
Liam,Wright,1965-09-13,LUX,Male,WRILIA65I13LUX25,Administrative Assistant,Junior,44727.0
Layla,Davis,1982-08-01,CH,Female,DAVLAY82H01CH38,Software Developer,Senior,65531.0
Lillian,Evans,1984-07-14,SWE,Female,EVALIL84G14SWE42,Software Developer,Lead/Manager,97027.0
Stewart,Scott,1978-06-07,NL,Male,SCOSTE78F07NL99,Cybersecurity Expert,Senior,86258.0
William,Clark,1982-02-03,SVK,Male,CLAWIL82B03SVK15,Seller,Intermediate,51433.0
Eli,Taylor,1962-08-25,ESP,Male,TAYELI62H25ESP44,Operations Manager,Junior,63242.0
Jones,Perez,1972-01-12,UA,Male,PERJON72A12UA61,Cybersecurity Expert,Lead/Manager,90582.0
Ruby,Smith,1982-11-30,ME,Female,SMIRUB82K30ME75,Operations Manager,Lead/Manager,89475.0
Turner,Parker,1997-06-02,LV,Male,PARTUR97F02LV95,Administrative Assistant,Senior,56409.0
William,Phillips,1993-06-04,RO,Male,PHIWIL93F04RO46,Research and Development Engineer,Lead/Manager,88554.0
Elijah,White,1967-02-22,UA,Male,WHIELI67B22UA78,Software Developer,Intermediate,72496.0
Madison,Lee,1964-07-19,PL,Female,LEEMAD64G19PL97,Seller,Junior,46360.0
Nova,Stewart,1958-06-29,BEL,Female,STENOV58F29BEL77,Marketing Manager,Lead/Manager,87778.0
Ethan,Lee,1965-01-12,GB,Male,LEEETH65A12GB92,Cybersecurity Expert,Intermediate,81410.0
Stella,Stewart,1984-11-17,AD,Female,STESTE84K17AD97,Cybersecurity Expert,Intermediate,72456.0
Zara,Taylor,1972-02-08,RO,Female,TAYZAR72B08RO64,Software Developer,Lead/Manager,81183.0
Penelope,Davis,1965-05-16,HR,Female,DAVPEN65E16HR63,Cybersecurity Expert,Intermediate,78887.0
Elena,Hernandez,1969-06-04,DK,Female,HERELE69F04DK43,Financial Analyst,Junior,50859.0
Chloe,Martinez,1967-02-22,DEU,Female,MARCHL67B22DEU36,Operations Manager,Senior,82716.0
Avery,Walker,1993-08-15,GB,Female,WALAVE93H15GB71,Software Developer,Senior,68422.0
Lucas,Campbell,1967-02-12,LTU,Male,CAMLUC67B12LTU69,Software Developer,Lead/Manager,98895.0
Aiden,Robinson,1986-09-15,BA,Male,ROBAID86I15BA49,Software Developer,Lead/Manager,91644.0
Aria,Baker,1962-02-20,BE,Female,BAKARI62B20BE81,Research and Development Engineer,Senior,80550.0
Lillian,Thomas,1999-12-21,MNE,Female,THOLIL99L21MNE38,Human Resources Manager,Junior,49199.0
Aria,Young,1953-03-24,MDA,Female,YOUARI53C24MDA40,Financial Analyst,Senior,69553.0
Aiden,Wilson,1999-08-20,MCO,Male,WILAID99H20MCO13,Research and Development Engineer,Lead/Manager,86892.0
Ethan,Moore,1959-07-02,MT,Male,MOOETH59G02MT22,Operations Manager,Lead/Manager,89650.0
Gianna,Young,1992-01-28,MKD,Female,YOUGIA92A28MKD74,Software Developer,Senior,80119.0
Miller,Hernandez,1985-04-11,LVA,Male,HERMIL85D11LVA97,Research and Development Engineer,Junior,64892.0
Violet,Carter,1969-01-03,BLR,Female,CARVIO69A03BLR13,Operations Manager,Intermediate,78143.0
Victoria,Harris,1951-04-02,CZE,Female,HARVIC51D02CZE31,Seller,Intermediate,56907.0
Gianna,Perez,1965-09-24,HRV,Female,PERGIA65I24HRV56,Human Resources Manager,Senior,63109.0
Lyla,White,1963-09-02,MK,Female,WHILYL63I02MK80,Seller,Junior,44942.0
Madison,White,1996-11-18,GEO,Female,WHIMAD96K18GEO89,Operations Manager,Intermediate,79818.0
Phillips,Allen,1972-06-23,LU,Male,ALLPHI72F23LU68,Technical Support Technician,Junior,40455.0
Lopez,Martinez,1998-09-07,LIE,Male,MARLOP98I07LIE63,Marketing Manager,Lead/Manager,75021.0
Scott,White,1958-08-27,DEU,Male,WHISCO58H27DEU48,Financial Analyst,Junior,51180.0
Jackson,Williams,1998-02-28,AUT,Male,WILJAC98B28AUT73,Administrative Assistant,Intermediate,47753.0
Luna,Nelson,1974-05-05,BGR,Female,NELLUN74E05BGR14,Cybersecurity Expert,Junior,63383.0
Chloe,Lewis,1971-04-30,GE,Female,LEWCHL71D30GE79,Marketing Manager,Senior,69839.0
Parker,Moore,1995-08-12,GR,Male,MOOPAR95H12GR99,Technical Support Technician,Senior,60231.0
Nova,Evans,1999-08-22,SI,Female,EVANOV99H22SI63,Marketing Manager,Junior,53997.0
Elijah,Allen,1965-11-23,HRV,Male,ALLELI65K23HRV85,Cybersecurity Expert,Intermediate,71199.0
Sebastian,Parker,1987-11-20,HUN,Male,PARSEB87K20HUN56,Software Developer,Senior,72008.0
Taylor,Roberts,1993-01-05,DEU,Male,ROBTAY93A05DEU37,Seller,Lead/Manager,69237.0
Zoey,Thompson,1975-10-02,SVN,Female,THOZOE75J02SVN29,Seller,Intermediate,46193.0
Isabella,Thompson,1963-04-12,MC,Female,THOISA63D12MC27,Seller,Junior,48330.0
Sophia,Taylor,1959-11-21,GB,Female,TAYSOP59K21GB71,Operations Manager,Lead/Manager,83632.0
Jackson,Hall,1980-04-16,NL,Male,HALJAC80D16NL12,Seller,Intermediate,46719.0
Chloe,Walker,1991-04-10,POL,Female,WALCHL91D10POL91,Seller,Lead/Manager,65161.0
Amelia,Green,1954-07-05,GBR,Female,GREAME54G05GBR41,Research and Development Engineer,Senior,83957.0
Mitchell,Lopez,1995-09-27,LIE,Male,LOPMIT95I27LIE52,Operations Manager,Junior,66279.0
Aria,Evans,1991-11-08,UKR,Female,EVAARI91K08UKR82,Research and Development Engineer,Junior,55323.0
Lopez,Robinson,1989-08-17,SM,Male,ROBLOP89H17SM44,Software Developer,Senior,89375.0
Ava,Walker,1967-04-28,MLT,Female,WALAVA67D28MLT49,Seller,Lead/Manager,71149.0
Mia,Stewart,1950-09-16,SMR,Female,STEMIA50I16SMR57,Seller,Junior,40218.0
Parker,Moore,1986-09-07,SVK,Male,MOOPAR86I07SVK18,Administrative Assistant,Senior,48178.0
Isabella,Martinez,1989-02-25,LV,Female,MARISA89B25LV59,Seller,Intermediate,50434.0
Hazel,Taylor,1960-10-19,TUR,Female,TAYHAZ60J19TUR71,Financial Analyst,Lead/Manager,79528.0
Ella,Martin,1966-03-07,SVN,Female,MARELL66C07SVN27,Operations Manager,Junior,64296.0
Moore,Lopez,1981-12-31,ES,Male,LOPMOO81L31ES74,Seller,Lead/Manager,72018.0
Benjamin,Perez,1963-11-27,DNK,Male,PERBEN63K27DNK53,Financial Analyst,Junior,54200.0
Harper,White,1974-09-14,IS,Female,WHIHAR74I14IS99,Financial Analyst,Senior,71139.0
Lila,Perez,1964-11-09,ME,Female,PERLIL64K09ME33,Software Developer,Lead/Manager,96318.0
Michael,Garcia,1958-10-28,MC,Male,GARMIC58J28MC39,Marketing Manager,Senior,82193.0
Caden,Mitchell,1974-04-09,CH,Male,MITCAD74D09CH50,Financial Analyst,Senior,68116.0
Aria,Harris,1960-11-16,HUN,Female,HARARI60K16HUN38,Administrative Assistant,Senior,48711.0
Ava,Jones,1968-02-10,PT,Female,JONAVA68B10PT22,Financial Analyst,Lead/Manager,80172.0
Chiara,Hill,1962-08-06,BLR,Female,HILCHI62H06BLR27,Operations Manager,Intermediate,71793.0
Scarlett,Moore,1951-12-31,DNK,Female,MOOSCA51L31DNK89,Human Resources Manager,Lead/Manager,82632.0
Lila,Lewis,1964-09-17,BEL,Female,LEWLIL64I17BEL55,Administrative Assistant,Intermediate,48758.0
Wright,Parker,1982-03-19,CZ,Male,PARWRI82C19CZ78,Technical Support Technician,Senior,57276.0
Jones,White,1969-04-22,IRL,Male,WHIJON69D22IRL76,Cybersecurity Expert,Lead/Manager,101566.0
Moore,Hill,1954-09-14,GB,Male,HILMOO54I14GB94,Seller,Lead/Manager,74475.0
Lucas,Taylor,1970-07-11,UA,Male,TAYLUC70G11UA18,Human Resources Manager,Intermediate,67781.0
Alice,Hernandez,1993-08-04,AND,Female,HERALI93H04AND16,Marketing Manager,Intermediate,60559.0
Amelia,Mitchell,1984-08-16,SMR,Female,MITAME84H16SMR69,Software Developer,Senior,77554.0
Ethan,Walker,1979-09-27,ROU,Male,WALETH79I27ROU57,Financial Analyst,Senior,64832.0
Scarlett,Thompson,1957-07-23,CZE,Female,THOSCA57G23CZE71,Seller,Junior,49133.0
Luna,Anderson,1971-02-26,AD,Female,ANDLUN71B26AD81,Marketing Manager,Junior,59378.0
Eli,Wright,1959-12-13,MK,Male,WRIELI59L13MK23,Cybersecurity Expert,Junior,62803.0
Logan,Moore,1974-03-04,MDA,Male,MOOLOG74C04MDA91,Operations Manager,Junior,60171.0
Aurora,Adams,1985-06-01,CYP,Female,ADAAUR85F01CYP31,Marketing Manager,Senior,65620.0
Williams,Mitchell,1957-08-21,HUN,Male,MITWIL57H21HUN16,Seller,Lead/Manager,66036.0
Eli,Walker,1998-12-20,BY,Male,WALELI98L20BY38,Administrative Assistant,Junior,36317.0
Williams,Taylor,1950-01-01,BY,Male,TAYWIL50A01BY37,Administrative Assistant,Junior,44478.0
Isabella,Martinez,1975-10-03,FI,Female,MARISA75J03FI81,Administrative Assistant,Junior,43009.0
Elijah,Johnson,1953-01-24,MT,Male,JOHELI53A24MT17,Technical Support Technician,Lead/Manager,69102.0
Hill,Jackson,1967-02-21,ITA,Male,JACHIL67B21ITA48,Administrative Assistant,Senior,46514.0
Aurora,Robinson,1967-04-05,HU,Female,ROBAUR67D05HU71,Marketing Manager,Lead/Manager,75486.0
Daniel,Hernandez,1964-03-21,CZE,Male,HERDAN64C21CZE74,Seller,Senior,57773.0
Chiara,Edwards,1962-10-06,LU,Female,EDWCHI62J06LU69,Human Resources Manager,Lead/Manager,88258.0
Lily,King,1963-11-13,ITA,Female,KINLIL63K13ITA62,Cybersecurity Expert,Senior,93384.0
Jackson,White,1958-05-29,AUT,Male,WHIJAC58E29AUT24,Seller,Intermediate,50161.0
Edwards,Edwards,1996-02-06,GE,Male,EDWEDW96B06GE23,Administrative Assistant,Junior,40567.0
Chloe,Lewis,1988-01-22,EE,Female,LEWCHL88A22EE31,Operations Manager,Senior,78016.0
Oliver,Miller,1966-09-14,BA,Male,MILOLI66I14BA28,Operations Manager,Junior,55546.0
Violet,Hernandez,1977-09-26,HU,Female,HERVIO77I26HU31,Seller,Intermediate,51852.0
Luna,Campbell,1951-12-27,BLR,Female,CAMLUN51L27BLR44,Software Developer,Junior,64547.0
Hill,Nelson,1959-09-02,MT,Male,NELHIL59I02MT75,Seller,Senior,56860.0
Ava,Scott,1997-01-24,CZ,Female,SCOAVA97A24CZ46,Operations Manager,Lead/Manager,83472.0
Daniel,Harris,1953-11-27,MC,Male,HARDAN53K27MC98,Software Developer,Intermediate,64401.0
Charlotte,Taylor,1967-01-15,HU,Female,TAYCHA67A15HU38,Financial Analyst,Intermediate,55803.0
Logan,Clark,1986-03-24,BEL,Male,CLALOG86C24BEL97,Seller,Senior,63828.0
Harper,Wright,1981-08-05,AUT,Female,WRIHAR81H05AUT47,Cybersecurity Expert,Junior,70648.0
Stella,Lee,1980-06-21,NLD,Female,LEESTE80F21NLD96,Seller,Lead/Manager,62560.0
Sebastian,Parker,1992-05-26,SWE,Male,PARSEB92E26SWE54,Human Resources Manager,Senior,73039.0
Baker,Edwards,1950-01-12,BLR,Male,EDWBAK50A12BLR48,Administrative Assistant,Junior,39112.0
Daniel,Collins,1981-05-18,DEU,Male,COLDAN81E18DEU65,Marketing Manager,Intermediate,67830.0
Miller,Baker,1969-08-01,VA,Male,BAKMIL69H01VA81,Technical Support Technician,Intermediate,50700.0
Violet,Allen,1956-10-30,AD,Female,ALLVIO56J30AD66,Seller,Senior,52010.0
Elena,Roberts,1973-11-07,XK,Female,ROBELE73K07XK45,Research and Development Engineer,Lead/Manager,93639.0
Nelson,Baker,1970-06-14,AT,Male,BAKNEL70F14AT86,Marketing Manager,Intermediate,60860.0
Parker,Wilson,1981-01-11,BY,Male,WILPAR81A11BY84,Financial Analyst,Intermediate,55634.0
Grace,Martin,1959-02-13,FIN,Female,MARGRA59B13FIN25,Software Developer,Intermediate,58967.0
Sofia,Nelson,1962-07-07,CZ,Female,NELSOF62G07CZ10,Financial Analyst,Lead/Manager,72003.0
Charlotte,Miller,1961-07-30,HR,Female,MILCHA61G30HR12,Research and Development Engineer,Junior,55719.0
Michael,Lewis,1986-12-08,AT,Male,LEWMIC86L08AT76,Marketing Manager,Intermediate,70177.0
Ethan,Taylor,1969-04-27,NO,Male,TAYETH69D27NO15,Seller,Intermediate,47404.0
Thomas,Adams,1961-04-26,GR,Male,ADATHO61D26GR70,Cybersecurity Expert,Senior,89910.0
