ID Sale,ID Product,Seller Code,ID Client,Quantity Sold,Sale Date
FT320,PR75,BRODAN85A28NO12,CL42,498,09/01/2021
FT321,PR50,ADATUR72L19SMR87,CL48,272,29/10/2023
FT322,PR15,LOPNOV81D15SMR67,CL7,216,28/02/2023
FT323,PR48,RODCAR52E09XKX19,CL7,31,31/05/2022
FT324,PR1,HALSEB55A17MK40,CL51,482,31/05/2021
FT325,PR60,HALSEB55A17MK40,CL1,253,05/07/2021
FT326,PR77,SCOSTE72I19BLR80,CL42,373,26/10/2022
FT327,PR26,WILSOF94D07MDA10,CL42,475,31/07/2023
FT328,PR77,BAKAND99L26AT79,CL48,220,16/01/2023
FT329,PR57,RODCAR52E09XKX19,CL12,79,16/01/2023
FT330,PR27,PARAUR67D26IT98,CL1,120,16/03/2020
FT331,PR77,JACRUB54F17HR49,CL1,277,18/09/2022
FT332,PR39,PARVIC92A03DK12,CL9,438,19/07/2022
FT333,PR39,LOPCAD56E15TR68,CL12,474,25/10/2021
FT334,PR39,PARVIC92A03DK12,CL89,211,12/12/2021
FT335,PR27,HARSTE65G08NO49,CL89,440,06/02/2021
FT336,PR75,CLAJAC53H29GRC11,CL35,16,25/08/2023
FT337,PR70,RODROB89H05HU11,CL9,98,26/10/2022
FT338,PR3,RODCAR52E09XKX19,CL40,318,18/12/2023
FT339,PR1,LOPCAD56E15TR68,CL12,217,21/10/2021
FT340,PR57,ROBSTE54C09IE43,CL1,40,31/07/2022
FT341,PR83,THONEL69A01XK35,CL12,464,22/01/2021
FT342,PR58,LOPLIA66E01CY31,CL89,151,23/12/2021
FT343,PR58,TAYLIL72H05BIH75,CL1,213,12/09/2022
FT344,PR24,PERALE73H21ESP75,CL51,48,24/08/2023
FT345,PR15,JACRUB54F17HR49,CL7,245,17/03/2023
FT346,PR27,GREELI55J27AND26,CL42,252,19/06/2023
FT347,PR27,THONEL69A01XK35,CL51,218,01/12/2020
FT348,PR83,YOUMIT51I14VA25,CL89,60,12/06/2020
FT349,PR15,TAYRIL89I19PL87,CL7,218,23/07/2021
FT350,PR1,TURCAM83G05IE15,CL89,274,07/10/2023
FT351,PR60,WILSOF94D07MDA10,CL1,,17/07/2020
FT352,PR98,RODROB89H05HU11,CL35,67,07/09/2023
FT353,PR63,WILELL96B24LT32,CL12,309,15/09/2020
FT354,PR83,MARISA63G25TUR81,CL89,145,31/01/2021
FT355,PR48,ANDLOG95E10LT17,CL9,263,09/05/2020
FT356,PR63,WILSOF94D07MDA10,CL12,37,02/02/2022
FT357,PR70,MARISA63G25TUR81,CL7,23,21/05/2022
FT358,PR98,BROAVA85D03SMR53,CL48,460,07/10/2022
FT359,PR57,BROAVA85D03SMR53,CL40,111,06/02/2021
FT360,PR77,ADAEMI84G25ESP61,CL42,58,13/01/2023
FT361,PR75,WHIALE98A07AUT34,CL9,292,12/08/2021
FT362,PR83,THOMIT00J09DE78,CL9,470,29/08/2023
FT363,PR63,BROAVA85D03SMR53,CL1,48,02/03/2020
FT364,PR98,YOUADA57C25FI93,CL1,101,22/03/2023
FT365,PR63,ADAEMI84G25ESP61,CL12,444,16/04/2023
FT366,PR53,TUREVE86K10LUX14,CL51,396,14/09/2020
FT367,PR53,HALEMI93K09MKD67,CL40,176,24/12/2021
FT368,PR3,BROAVA85D03SMR53,CL42,156,24/05/2021
FT369,PR90,EDWBEN73L13HR19,CL42,406,30/06/2022
FT370,PR58,YOUADA57C25FI93,CL1,59,21/09/2020
FT371,PR39,WILSOF94D07MDA10,CL40,329,14/08/2021
FT372,PR26,GREELI55J27AND26,CL1,469,08/09/2021
FT373,PR44,WHIALE98A07AUT34,CL51,188,15/10/2022
FT374,PR39,ADAEMI84G25ESP61,CL42,162,15/02/2020
FT375,PR48,NELMIT90B19ITA40,CL42,288,24/08/2023
FT376,PR77,GREELI55J27AND26,CL12,438,11/07/2020
FT377,PR77,JACSOP76L31CY56,CL35,496,22/07/2021
FT378,PR13,YOUADA57C25FI93,CL35,499,20/09/2020
FT379,PR96,TUREVE86K10LUX14,CL9,198,12/03/2020
FT380,PR96,HARSTE65G08NO49,CL7,224,19/08/2021
FT381,PR48,JACAAL91C22XKX91,CL42,235,16/12/2020
FT382,PR63,MILNEL70D22SVN24,CL35,89,29/07/2020
FT383,PR39,JACSOP76L31CY56,CL42,182,28/07/2022
FT384,PR39,PERALE73H21ESP75,CL12,368,13/04/2023
FT385,PR70,ANDLOG95E10LT17,CL89,329,30/12/2020
FT386,PR39,CARLYL79J21BE68,CL48,406,18/11/2021
FT387,PR63,ADAEMI84G25ESP61,CL89,398,09/01/2022
FT388,PR48,CAMARI52J02MC30,CL35,473,03/01/2020
FT389,PR44,BAKAND99L26AT79,CL51,328,22/08/2021
FT390,PR83,RODROB89H05HU11,CL89,221,19/03/2020
FT391,PR96,MILNEL70D22SVN24,CL48,455,06/10/2020
FT392,PR1,TAYLIL72H05BIH75,CL7,200,16/09/2023
FT393,PR27,LOPCAD56E15TR68,CL1,374,22/05/2020
FT394,PR90,MARISA63G25TUR81,CL89,71,03/05/2022
FT395,PR24,NELLOG64G20POL27,CL1,181,25/02/2023
FT396,PR44,WILELL96B24LT32,CL89,201,23/06/2021
FT397,PR75,ANDLOG95E10LT17,CL12,299,09/11/2022
FT398,PR1,MILNEL70D22SVN24,CL48,248,14/12/2021
FT399,PR13,WALGRE86J11IRL41,CL7,,01/03/2021
FT400,PR44,TAYLIL72H05BIH75,CL48,25,31/07/2021
FT401,PR77,WILELL96B24LT32,CL40,281,19/08/2023
FT402,PR24,JACSOP76L31CY56,CL42,119,18/11/2022
FT403,PR48,RODROB89H05HU11,CL48,424,30/01/2020
FT404,PR1,ADAEMI84G25ESP61,CL42,143,30/04/2020
FT405,PR27,WILSOF94D07MDA10,CL89,427,30/03/2023
FT406,PR44,JONWIL64C07MCO49,CL51,47,03/11/2022
FT407,PR1,WILSOF94D07MDA10,CL89,343,29/10/2021
FT408,PR98,THOMIT00J09DE78,CL51,419,27/10/2022
FT409,PR60,JACSOP76L31CY56,CL48,386,11/05/2023
FT410,PR96,SCOSTE72I19BLR80,CL89,,20/02/2021
FT411,PR44,ROBSTE54C09IE43,CL9,416,26/09/2021
FT412,PR96,ROBTUR76J13RUS36,CL42,328,18/06/2023
FT413,PR63,YOUADA57C25FI93,CL89,129,15/02/2020
FT414,PR44,LOPLIA66E01CY31,CL12,221,17/02/2022
FT415,PR83,MILNEL70D22SVN24,CL48,30,20/02/2020
FT416,PR70,CAMARI52J02MC30,CL89,402,18/12/2023
FT417,PR50,NELMIT90B19ITA40,CL35,71,24/06/2020
FT418,PR70,WILELL96B24LT32,CL89,333,13/02/2022
FT419,PR63,RODROB89H05HU11,CL7,473,19/01/2020
FT420,PR83,ADATUR72L19SMR87,CL48,283,27/04/2020
FT421,PR96,NELLOG64G20POL27,CL35,118,30/03/2021
FT422,PR57,WALGRE86J11IRL41,CL48,204,01/08/2021
FT423,PR44,WALGRE86J11IRL41,CL35,419,29/01/2022
FT424,PR61,WILCHI60G23FIN11,CL7,142,24/12/2023
FT425,PR3,LOPCAD56E15TR68,CL42,168,14/08/2021
FT426,PR24,PERMAD88A03ES82,CL51,413,05/05/2020
FT427,PR26,WILSOF94D07MDA10,CL48,385,07/12/2022
FT428,PR57,BROAVA85D03SMR53,CL7,15,31/01/2021
FT429,PR63,JONWIL64C07MCO49,CL51,478,21/10/2022
FT430,PR75,WILSOF94D07MDA10,CL1,321,06/02/2022
FT431,PR60,TURCAM83G05IE15,CL40,47,09/11/2022
FT432,PR24,RODROB89H05HU11,CL12,459,31/07/2022
FT433,PR60,CARLYL79J21BE68,CL7,214,21/05/2023
