ID Sale,ID Product,Seller Code,ID Client,Quantity Sold,Sale Date
FT396,PR77,LEWAID90H08LI75,CL39,480.0,2022-09-12
FT397,PR93,HILELE90J24FIN75,CL10,228.0,2021-02-17
FT398,PR73,ROBCHI57D08NO42,CL10,194.0,2023-09-16
FT399,PR98,HILELE90J24FIN75,CL63,43.0,2023-06-15
FT401,PR15,ALLVIO56J30AD66,CL39,432.0,2023-01-06
FT402,PR40,JONSTE61F23IS80,CL37,183.0,2020-10-18
FT403,PR40,THOZOE75J02SVN29,CL12,376.0,2021-07-31
FT404,PR31,HALJAC80D16NL12,CL37,158.0,2021-07-14
FT405,PR31,WALROB66I11LIE39,CL38,415.0,2022-04-09
FT406,PR22,THOCHA67B24FI71,CL63,403.0,2022-01-01
FT407,PR15,THOISA63D12MC27,CL37,330.0,2021-04-11
FT408,PR56,HILMOO54I14GB94,CL39,111.0,2022-06-15
FT409,PR93,LEESTE80F21NLD96,CL10,390.0,2020-06-03
FT410,PR39,THOSCA57G23CZE71,CL12,210.0,2023-03-05
FT411,PR31,SCOEVA65J08SM99,CL10,231.0,2022-07-27
FT412,PR97,LEEMAD64G19PL97,CL46,330.0,2021-09-05
FT413,PR38,HERDAN64C21CZE74,CL75,319.0,2021-06-15
FT414,PR73,WHILYL94F06FIN25,CL12,211.0,2023-02-24
FT415,PR93,LEEMAD64G19PL97,CL38,430.0,2020-08-21
FT416,PR25,THOSCA79J29LV17,CL39,317.0,2023-03-09
FT417,PR86,HILMOO54I14GB94,CL37,164.0,2020-01-19
FT418,PR86,HILMOO54I14GB94,CL10,247.0,2020-04-22
FT419,PR25,CLAWIL82B03SVK15,CL37,473.0,2022-09-15
FT420,PR28,HALHAN93F14MLT30,CL12,284.0,2021-06-29
FT421,PR22,ROBTAY93A05DEU37,CL38,477.0,2021-09-29
FT422,PR93,HERVIO77I26HU31,CL37,118.0,2021-05-10
FT423,PR28,THOSCA57G23CZE71,CL72,129.0,2022-09-22
FT424,PR15,HILMOO54I14GB94,CL46,366.0,2021-05-01
FT425,PR22,WALROB66I11LIE39,CL38,150.0,2022-09-17
FT426,PR66,HILELE90J24FIN75,CL39,189.0,2023-02-23
FT427,PR86,MARISA89B25LV59,CL37,72.0,2020-11-24
FT428,PR6,WALROB66I11LIE39,CL46,172.0,2021-10-09
FT429,PR31,WHILYL63I02MK80,CL37,63.0,2020-09-17
FT430,PR40,HALHAN93F14MLT30,CL72,266.0,2022-09-19
FT431,PR40,SMIELL95K17MT92,CL39,290.0,2020-09-12
FT432,PR38,LEESTE80F21NLD96,CL39,314.0,2022-03-23
FT433,PR66,MITLYL84H21DE10,CL39,254.0,2022-10-09
FT434,PR56,HERDAN64C21CZE74,CL46,300.0,2023-07-03
FT435,PR66,TAYETH69D27NO15,CL12,404.0,2021-10-16
FT436,PR31,THOSCA79J29LV17,CL10,402.0,2023-01-09
FT437,PR69,WILROB81I05AL81,CL39,356.0,2022-04-22
FT438,PR77,MITWIL57H21HUN16,CL38,118.0,2021-10-01
FT439,PR25,HILELE90J24FIN75,CL39,379.0,2020-02-14
FT440,PR22,MITLYL84H21DE10,CL46,314.0,2022-11-29
FT441,PR28,THOZOE75J02SVN29,CL10,73.0,2021-01-23
FT442,PR84,HILELE90J24FIN75,CL63,93.0,2022-01-24
FT443,PR21,WILROB81I05AL81,CL75,340.0,2020-03-22
FT444,PR93,HERDAN97B06ITA98,CL10,32.0,2022-06-22
FT445,PR84,WALCHL91D10POL91,CL38,135.0,2022-10-22
FT446,PR22,MARISA89B25LV59,CL10,84.0,2023-06-19
FT447,PR25,HILMOO54I14GB94,CL38,485.0,2023-04-19
FT448,PR6,GARGIA85B19LI80,CL39,446.0,2020-02-20
FT449,PR40,WALAVA67D28MLT49,CL75,479.0,2022-10-30
FT450,PR15,WHILYL94F06FIN25,CL10,72.0,2020-01-16
FT451,PR25,STEMIA50I16SMR57,CL38,210.0,2021-04-17
FT452,PR98,LOPMOO81L31ES74,CL72,207.0,2020-03-17
FT453,PR6,WHILYL94F06FIN25,CL10,260.0,2021-02-13
FT454,PR69,HERDAN97B06ITA98,CL75,169.0,2021-05-19
FT455,PR69,LEEMAD64G19PL97,CL38,30.0,2023-12-05
FT456,PR56,MILEVA88J22PRT73,CL63,163.0,2023-07-15
FT457,PR86,HERDAN64C21CZE74,CL72,300.0,2021-03-27
FT458,PR28,ROBISA93C05NO27,CL12,39.0,2020-03-04
FT459,PR22,THOZOE75J02SVN29,CL72,444.0,2023-05-21
FT460,PR86,THOZOE75J02SVN29,CL75,377.0,2021-01-11
FT461,PR39,HALHAN93F14MLT30,CL75,418.0,2020-10-14
FT462,PR98,HARVIC51D02CZE31,CL12,252.0,2022-11-02
FT463,PR69,WILROB81I05AL81,CL72,320.0,2020-01-01
FT464,PR66,HALSEB73B20FR62,CL10,221.0,2021-06-17
FT465,PR98,HERVIO77I26HU31,CL37,297.0,2020-10-11
FT466,PR66,NELLUC78K06PRT19,CL10,417.0,2022-07-20
FT467,PR84,HILMOO54I14GB94,CL37,283.0,2021-06-22
FT468,PR39,WHILYL94F06FIN25,CL63,107.0,2023-06-04
FT469,PR77,JONSTE61F23IS80,CL37,462.0,2021-04-09
FT470,PR39,THOSCA79J29LV17,CL75,97.0,2022-05-30
FT471,PR15,TAYETH69D27NO15,CL12,216.0,2021-11-15
FT472,PR73,TAYETH69D27NO15,CL75,429.0,2023-11-26
FT473,PR15,LEWZOE97C30SWE10,CL38,282.0,2021-03-08
FT474,PR22,GAREVE51C30UKR52,CL63,325.0,2021-08-28
FT475,PR86,WALROB66I11LIE39,CL63,436.0,2022-01-27
FT476,PR21,HILMOO54I14GB94,CL46,69.0,2022-12-12
